页面分组,页面名称,页面,来源文件,名称,描述,是否需要设计,优先级,现在用的,备注
首页与入口,首页,welcome.html,pages/home/home-content.html,homepage_title_banner_background.43282104.png,首页聚合页，包含办公套件、知识沉淀、AI 接入、安全保障、客户案例与转化入口,需要,P0 面子工程,当前首页主视觉已在用；知识沉淀与 AI 模块仍有 TODO 占位,主入口页
首页与入口,首页（根路由别名）,index.html,pages/home/home-content.html,homepage_title_banner_background.43282104.png,与 welcome.html 内容一致，仅作为根路由与 SEO 别名入口,不需要,P3 复用页,复用 welcome.html 内容,无需重复设计
办公套件落地页,石墨办公套件面向团队,officesuite-business.html,pages/officesuite/business.html,suite-banner1.png,面向团队的办公套件落地页，强调快速启用、协作能力、知识沉淀与客户案例,需要,P0 面子工程,当前使用 suite-banner1.png；内嵌 knowledge 模块仍有占位,适合优先补品牌统一视觉
办公套件落地页,石墨办公套件面向企业,officesuite-enterprise.html,pages/officesuite/enterprise.html,suite-banner2.png,面向企业的私有化落地页，强调安全、部署、知识沉淀与 AI 接入,需要,P0 面子工程,当前使用 suite-banner2.png；knowledge 与 AI 模块仍有占位,适合优先补品牌统一视觉
办公套件落地页,石墨文档中台面向集成,webofficesdk-integration.html,pages/webofficesdk/integration.html,sdk-banner.png,面向企业集成的中台落地页，展示能力、场景与接入资源,需要,P0 面子工程,当前使用 sdk-banner.png；AI 接入能力卡仍为敬请期待,开发者主入口页
一级能力页,文档协作,collaboration.html,pages/features/collaboration.html,collaboration-tabs,六类协作产品总览页，聚合文档、文稿、表格、幻灯片、应用表格与表单,部分需要,P1 一级能力页,当前主图为各产品截图切换；结构完整但还可统一升级,建议补统一视觉规范
一级能力页,知识沉淀,knowledge.html,pages/features/knowledge.html,knowledge-placeholders,工作台、协作空间、知识库、企业管理四段式能力页,需要,P1 一级能力页,当前大量 TODO 与界面占位；缺少真实产品图,设计与素材需求明显
一级能力页,AI 接入,ai.html,pages/features/ai.html,ai-placeholders,AI 助手与 AI 文档基座介绍页,需要,P1 一级能力页,当前 2 个主视觉区与多枚图标仍为 TODO 占位,设计与素材需求明显
一级能力页,安全保障,security-hub.html,pages/features/security-hub.html,无独立主视觉,汇总数据安全、私有部署与信创合规的能力入口页,部分需要,P1 一级能力页,当前以结构化文案为主；可补统一安全视觉,可与企业页风格统一
一级能力页,格式支持,format-support.html,pages/features/format-support.html,无独立主视觉,文件预览、导入、导出格式兼容清单页,不需要,P2 信息页,当前以信息表格展示为主,偏信息型页面
